DateTime,V,DIR,SLP,TP,RH
2018-03-01-00:00:00,2.28,352,1018.8,273.95,22
2018-03-01-01:00:00,4.35,340,1018.8,275.45,21
2018-03-01-02:00:00,4.39,329,1018.4,276.85,19
2018-03-01-03:00:00,3.77,312,1017.8,277.25,17
2018-03-01-04:00:00,3.61,355,1016.7,279.35,14
2018-03-01-05:00:00,4.01,326,1015.4,280.75,13
2018-03-01-06:00:00,4.25,325,1014.3,281.85,11
2018-03-01-07:00:00,2.57,250,1013.7,282.15,12
2018-03-01-08:00:00,3.86,196,1013.2,281.55,13
2018-03-01-09:00:00,4.03,216,1012.8,281.15,14
2018-03-01-10:00:00,3.9,193,1012.8,279.65,17
2018-03-01-11:00:00,3.01,191,1013,278.45,19
2018-03-01-12:00:00,3.43,193,1013.2,278.05,20
2018-03-01-13:00:00,4.08,184,1013,277.15,22
2018-03-01-14:00:00,3.36,175,1013,274.95,25
2018-03-01-15:00:00,4.04,138,1012.5,275.25,24
2018-03-01-16:00:00,5.47,146,1011.8,274.05,31
2018-03-01-17:00:00,3.21,138,1011.5,273.35,36
2018-03-01-18:00:00,3.64,129,1011.3,273.25,34
2018-03-01-19:00:00,3.72,135,1010.7,272.65,34
2018-03-01-20:00:00,3.41,128,1010,272.55,36
2018-03-01-21:00:00,3.3,136,1009.9,272.85,37
2018-03-01-22:00:00,3.02,114,1009,272.45,42
2018-03-01-23:00:00,2.89,107,1008.4,272.65,43
2018-03-02-00:00:00,2.56,110,1008.6,273.35,43
2018-03-02-01:00:00,1.59,146,1008.5,274.75,36
2018-03-02-02:00:00,2.18,32,1007.8,276.05,34
2018-03-02-03:00:00,0.76,260,1007.1,276.65,33
2018-03-02-04:00:00,2.12,127,1006.1,278.35,29
2018-03-02-05:00:00,1.06,109,1004.3,279.95,27
2018-03-02-06:00:00,2.69,148,1003,281.35,26
2018-03-02-07:00:00,1.94,207,1002.5,281.55,26
2018-03-02-08:00:00,2.41,152,1001.8,281.55,25
2018-03-02-09:00:00,1.72,128,1001.4,281.75,25
2018-03-02-10:00:00,0.63,163,1001.7,280.65,27
2018-03-02-11:00:00,1.16,31,1001.9,279.35,29
2018-03-02-12:00:00,2.88,25,1002,278.45,30
2018-03-02-13:00:00,2.91,75,1002.1,279.85,31
2018-03-02-14:00:00,1.63,122,1002,279.35,39
2018-03-02-15:00:00,1.01,9,1001.6,276.85,48
2018-03-02-16:00:00,1.45,348,1001.1,276.25,50
2018-03-02-17:00:00,1.25,274,1000.7,273.95,55
2018-03-02-18:00:00,0.54,261,1000.3,273.95,54
2018-03-02-19:00:00,0.38,297,999.5,272.25,63
2018-03-02-20:00:00,0.62,349,999.1,272.25,61
2018-03-02-21:00:00,0.99,351,999.1,271.65,65
2018-03-02-22:00:00,0.7,306,999.1,271.25,65
2018-03-02-23:00:00,0.64,336,999.7,271.35,65
2018-03-03-00:00:00,1.71,339,1000.6,274.75,54
2018-03-03-01:00:00,2.65,22,1000.7,276.95,47
2018-03-03-02:00:00,1.83,33,1000.8,279.45,43
2018-03-03-03:00:00,1.49,21,1000.8,281.25,46
2018-03-03-04:00:00,1.58,85,1000.9,282.05,50
2018-03-03-05:00:00,1.4,110,1001,282.55,51
2018-03-03-06:00:00,2.96,99,1000.1,282.75,52
2018-03-03-07:00:00,2.9,103,1000.6,282.65,55
2018-03-03-08:00:00,1.24,78,1002.1,282.35,56
2018-03-03-09:00:00,1.68,94,1002.8,282.45,56
2018-03-03-10:00:00,1.61,353,1004.3,281.45,60
2018-03-03-11:00:00,1.04,334,1005.2,280.65,61
2018-03-03-12:00:00,1.46,25,1005.6,281.85,60
2018-03-03-13:00:00,1.71,33,1006.4,281.55,65
2018-03-03-14:00:00,1.02,244,1007.6,280.15,68
2018-03-03-15:00:00,0.96,260,1008.8,279.15,72
2018-03-03-16:00:00,0.8,209,1009.2,280.05,68
2018-03-03-17:00:00,2.47,18,1009.8,281.45,30
2018-03-03-18:00:00,5.92,42,1010.7,283.75,15
2018-03-03-19:00:00,5.82,32,1011.7,283.15,14
2018-03-03-20:00:00,3.12,46,1012.3,282.15,15
2018-03-03-21:00:00,5.06,23,1012.7,282.05,15
2018-03-03-22:00:00,4.03,68,1013.4,281.85,15
2018-03-03-23:00:00,2.77,121,1014.5,281.35,37
2018-03-04-00:00:00,4.25,156,1015.2,279.65,67
2018-03-04-01:00:00,4.01,169,1016.3,279.45,58
2018-03-04-02:00:00,4.52,174,1017,279.65,50
2018-03-04-03:00:00,5.58,183,1017.8,279.45,41
2018-03-04-04:00:00,4.78,185,1017.5,279.35,38
2018-03-04-05:00:00,6,162,1016.8,280.25,35
2018-03-04-06:00:00,5.07,171,1016.2,279.95,34
2018-03-04-07:00:00,5.04,159,1016.1,279.95,33
2018-03-04-08:00:00,5.01,157,1016.3,278.95,34
2018-03-04-09:00:00,4.29,145,1016.7,278.15,35
